Cost Element,Posting Date,Week Number,Value in Obj. Crcy
7000060,2025-05-14,20,0.01
7000090,2023-08-31,35,1671.7800000000002
7000090,2023-09-26,39,-7.08
7000090,2023-10-04,40,0.0
7000090,2025-02-12,7,-200.0
7000160,2023-08-08,32,-1997.96
7000160,2024-04-19,16,0.0
7000290,2023-01-01,52,-74582.70999999999
7000290,2023-01-03,1,131134.65
7000290,2023-01-04,1,2093.3
7000290,2023-01-05,1,2252.0
7000290,2023-01-09,2,-140.0
7000290,2023-01-10,2,44308.44
7000290,2023-01-16,3,23274.6
7000290,2023-01-18,3,165.94
7000290,2023-01-19,3,3302.12
7000290,2023-01-20,3,31805.85
7000290,2023-01-23,4,8352.87
7000290,2023-01-24,4,51385.28
7000290,2023-01-25,4,69.98
7000290,2023-01-27,4,18183.5
7000290,2023-01-30,5,8722.07
7000290,2023-01-31,5,85519.23
7000290,2023-02-01,5,60429.53
7000290,2023-02-02,5,231.0
7000290,2023-02-03,5,619.4300000000001
7000290,2023-02-06,6,6238.0
7000290,2023-02-07,6,7362.0
7000290,2023-02-08,6,9840.08
7000290,2023-02-09,6,4786.3099999999995
7000290,2023-02-10,6,43493.2
7000290,2023-02-13,7,3957.3
7000290,2023-02-15,7,5266.0
7000290,2023-02-16,7,619.15
7000290,2023-02-17,7,27456.26
7000290,2023-02-19,7,15540.0
7000290,2023-02-20,8,10017.98
7000290,2023-02-21,8,4344.51
7000290,2023-02-22,8,1330.63
7000290,2023-02-23,8,350.0
7000290,2023-02-27,9,599.6800000000001
7000290,2023-02-28,9,160253.99
7000290,2023-03-01,9,546.2699999999943
7000290,2023-03-03,9,5702.0
7000290,2023-03-08,10,189.46
7000290,2023-03-10,10,15512.0
7000290,2023-03-13,11,16494.0
7000290,2023-03-15,11,350.0
7000290,2023-03-16,11,46157.619999999995
7000290,2023-03-17,11,71743.53
7000290,2023-03-20,12,76921.27
7000290,2023-03-21,12,30346.25
7000290,2023-03-23,12,2189.3
7000290,2023-03-24,12,8353.0
7000290,2023-03-27,13,1992.73
7000290,2023-03-30,13,6573.37
7000290,2023-03-31,13,214467.28
7000290,2023-04-01,13,-152006.61
7000290,2023-04-04,14,152965.59
7000290,2023-04-05,14,2121.8399999999997
7000290,2023-04-06,14,15185.5
7000290,2023-04-11,15,53730.5
7000290,2023-04-12,15,64508.04
7000290,2023-04-13,15,61.6
7000290,2023-04-17,16,60485.88
7000290,2023-04-18,16,1001.6
7000290,2023-04-19,16,1078.24
7000290,2023-04-20,16,47452.3
7000290,2023-04-21,16,20330.0
7000290,2023-04-24,17,23937.670000000002
7000290,2023-04-25,17,481.93
7000290,2023-04-26,17,38110.0
7000290,2023-04-27,17,145.4
7000290,2023-04-28,17,27365.22
7000290,2023-04-30,17,66378.13
7000290,2023-05-01,18,17931.310000000005
7000290,2023-05-04,18,8208.45
7000290,2023-05-05,18,113312.86
7000290,2023-05-08,19,9732.0
7000290,2023-05-09,19,800.0
7000290,2023-05-11,19,5404.9
7000290,2023-05-12,19,50884.15
7000290,2023-05-15,20,1004.1
7000290,2023-05-16,20,341.63
7000290,2023-05-17,20,18554.62
7000290,2023-05-20,20,106.74
7000290,2023-05-22,21,1229.69
7000290,2023-05-23,21,97206.0
7000290,2023-05-24,21,3413.6
7000290,2023-05-26,21,650.0
7000290,2023-05-29,22,848.81
7000290,2023-05-30,22,60529.05
7000290,2023-05-31,22,78707.99
7000290,2023-06-01,22,-73412.41
7000290,2023-06-02,22,144399.14
7000290,2023-06-05,23,6699.52
7000290,2023-06-06,23,350.0
7000290,2023-06-07,23,2493.71
7000290,2023-06-09,23,18955.35
7000290,2023-06-13,24,4342.26
7000290,2023-06-14,24,426.96
7000290,2023-06-15,24,8062.93
7000290,2023-06-16,24,43580.75
7000290,2023-06-19,25,88863.5
7000290,2023-06-22,25,2979.6
7000290,2023-06-23,25,60236.46
7000290,2023-06-25,25,21563.940000000002
7000290,2023-06-26,26,17953.46
7000290,2023-06-27,26,38900.0
7000290,2023-06-29,26,486.38
7000290,2023-06-30,26,73886.51
7000290,2023-07-01,26,-74988.05
7000290,2023-07-04,27,76980.23
7000290,2023-07-05,27,487.95000000000005
7000290,2023-07-06,27,42.1
7000290,2023-07-07,27,48066.67
7000290,2023-07-10,28,63593.88
7000290,2023-07-11,28,106.74
7000290,2023-07-12,28,4501.88
7000290,2023-07-13,28,-380.0
7000290,2023-07-14,28,60704.22
7000290,2023-07-17,29,54848.5
7000290,2023-07-18,29,21651.85
7000290,2023-07-19,29,42.1
7000290,2023-07-20,29,376.25
7000290,2023-07-24,30,31153.5
7000290,2023-07-25,30,14943.33
7000290,2023-07-27,30,58862.9
7000290,2023-07-28,30,13166.84
7000290,2023-07-30,30,1219.7
7000290,2023-07-31,31,73357.34
7000290,2023-08-01,31,-49962.64
7000290,2023-08-02,31,107065.44
7000290,2023-08-04,31,37435.5
7000290,2023-08-07,32,4660.11
7000290,2023-08-11,32,19991.64
7000290,2023-08-14,33,6855.99
7000290,2023-08-17,33,529.74
7000290,2023-08-18,33,110379.6
7000290,2023-08-21,34,299.19
7000290,2023-08-22,34,87215.03
7000290,2023-08-23,34,49437.5
7000290,2023-08-25,34,14688.0
7000290,2023-08-29,35,425.1
7000290,2023-08-30,35,407.5
7000290,2023-08-31,35,82818.45
7000290,2023-09-01,35,59225.43000000001
7000290,2023-09-08,36,8002.0
7000290,2023-09-12,37,449.71000000000004
7000290,2023-09-13,37,49319.92
7000290,2023-09-14,37,75427.5
7000290,2023-09-15,37,34929.67
7000290,2023-09-18,38,278.9
7000290,2023-09-20,38,201.6
7000290,2023-09-21,38,2505.55
7000290,2023-09-22,38,72263.81
7000290,2023-09-25,39,4527.0
7000290,2023-09-26,39,45445.5
7000290,2023-09-27,39,1735.5
7000290,2023-09-28,39,1390.0
7000290,2023-09-29,39,74599.79
7000290,2023-09-30,39,38285.1
7000290,2023-10-02,40,57173.770000000004
7000290,2023-10-05,40,2242.0
7000290,2023-10-06,40,17029.01
7000290,2023-10-08,40,10765.0
7000290,2023-10-09,41,836.2
7000290,2023-10-11,41,2076.0
7000290,2023-10-12,41,2863.96
7000290,2023-10-13,41,50848.56
7000290,2023-10-17,42,72875.0
7000290,2023-10-18,42,2000.0
7000290,2023-10-19,42,11170.5
7000290,2023-10-20,42,31862.0
7000290,2023-10-23,43,5660.24
7000290,2023-10-24,43,1714.88
7000290,2023-10-25,43,6686.6
7000290,2023-10-26,43,9969.25
7000290,2023-10-27,43,75181.92
7000290,2023-10-30,44,7397.42
7000290,2023-10-31,44,120281.31
7000290,2023-11-01,44,-143634.39
7000290,2023-11-02,44,201219.56
7000290,2023-11-03,44,24387.0
7000290,2023-11-06,45,5051.85
7000290,2023-11-10,45,19136.0
7000290,2023-11-13,46,4209.12
7000290,2023-11-14,46,800.0
7000290,2023-11-15,46,310.0
7000290,2023-11-20,47,58061.9
7000290,2023-11-21,47,6265.88
7000290,2023-11-22,47,48224.8
7000290,2023-11-24,47,800.0
7000290,2023-11-27,48,38167.1
7000290,2023-11-29,48,5095.0
7000290,2023-11-30,48,105482.06
7000290,2023-12-01,48,62123.9
7000290,2023-12-06,49,3164.3
7000290,2023-12-08,49,686.0
7000290,2023-12-11,50,50731.99
7000290,2023-12-13,50,78242.5
7000290,2023-12-14,50,106.74
7000290,2023-12-15,50,44793.75
7000290,2023-12-18,51,22594.95
7000290,2023-12-19,51,674.52
7000290,2023-12-20,51,18822.76
7000290,2023-12-21,51,8555.4
7000290,2023-12-22,51,114547.3
7000290,2023-12-27,52,75230.69
7000290,2023-12-28,52,51.84
7000290,2023-12-29,52,29645.92
7000290,2023-12-31,52,42181.200000000004
7000290,2024-01-01,1,-37787.68
7000290,2024-01-02,1,96906.62000000001
7000290,2024-01-05,1,10773.9
7000290,2024-01-11,2,326.77
7000290,2024-01-12,2,28351.68
7000290,2024-01-18,3,4295.0
7000290,2024-01-19,3,81672.85
7000290,2024-01-22,4,52849.0
7000290,2024-01-23,4,270.42
7000290,2024-01-24,4,1371.81
7000290,2024-01-25,4,4917.0
7000290,2024-01-26,4,2101.3
7000290,2024-01-29,5,41503.15
7000290,2024-01-31,5,111074.07
7000290,2024-02-01,5,26768.99
7000290,2024-02-02,5,23396.8
7000290,2024-02-05,6,7250.75
7000290,2024-02-08,6,5689.0
7000290,2024-02-09,6,18634.77
7000290,2024-02-12,7,77264.89
7000290,2024-02-14,7,2224.06
7000290,2024-02-15,7,6149.55
7000290,2024-02-16,7,1350.0
7000290,2024-02-19,8,34670.0
7000290,2024-02-21,8,469.2
7000290,2024-02-22,8,132.05
7000290,2024-02-23,8,42669.46
7000290,2024-02-26,9,11884.61
7000290,2024-02-27,9,5181.6
7000290,2024-02-28,9,17758.0
7000290,2024-02-29,9,97676.45
7000290,2024-03-01,9,-93322.19
7000290,2024-03-04,10,144711.65
7000290,2024-03-07,10,12328.74
7000290,2024-03-08,10,27191.38
7000290,2024-03-11,11,496.56
7000290,2024-03-12,11,2443.7
7000290,2024-03-13,11,80640.48
7000290,2024-03-14,11,312.78
7000290,2024-03-15,11,26797.57
7000290,2024-03-18,12,598.84
7000290,2024-03-19,12,52175.0
7000290,2024-03-20,12,227.06
7000290,2024-03-22,12,648.6
7000290,2024-03-25,13,47564.25
7000290,2024-03-26,13,18372.5
7000290,2024-03-28,13,76408.55
7000290,2024-03-31,13,184191.59999999998
7000290,2024-04-01,14,-183871.05
7000290,2024-04-02,14,239656.57
7000290,2024-04-04,14,522.47
7000290,2024-04-05,14,12759.5
7000290,2024-04-08,15,3262.9
7000290,2024-04-10,15,417.9
7000290,2024-04-11,15,178.28
7000290,2024-04-15,16,20090.55
7000290,2024-04-16,16,853.51
7000290,2024-04-17,16,4630.6
7000290,2024-04-19,16,65674.25
7000290,2024-04-23,17,227.28000000000003
7000290,2024-04-24,17,4911.6
7000290,2024-04-25,17,-922.3
7000290,2024-04-26,17,55610.0
7000290,2024-04-29,18,12425.51
7000290,2024-04-30,18,96254.58
7000290,2024-05-01,18,-94894.34
7000290,2024-05-02,18,169964.42
7000290,2024-05-10,19,12299.08
7000290,2024-05-13,20,66393.2
7000290,2024-05-14,20,0.0
7000290,2024-05-15,20,25770.54
7000290,2024-05-17,20,41413.52
7000290,2024-05-21,21,210.21
7000290,2024-05-22,21,59220.45
7000290,2024-05-23,21,9999.0
7000290,2024-05-24,21,8277.470000000001
7000290,2024-05-28,22,754.69
7000290,2024-05-29,22,13387.92
7000290,2024-05-31,22,289357.69
7000290,2024-06-01,22,-367.36
7000290,2024-06-03,23,-205144.0
7000290,2024-06-04,23,265504.04
7000290,2024-06-05,23,135.0
7000290,2024-06-11,24,4484.0
7000290,2024-06-12,24,25056.0
7000290,2024-06-13,24,147.05
7000290,2024-06-17,25,10410.25
7000290,2024-06-19,25,408.85
7000290,2024-06-20,25,2142.0
7000290,2024-06-21,25,35490.75
7000290,2024-06-24,26,2866.62
7000290,2024-06-25,26,2188.9100000000003
7000290,2024-06-27,26,2417.94
7000290,2024-06-28,26,105299.6
7000290,2024-06-30,26,186305.63
7000290,2024-07-01,27,-124225.31
7000290,2024-07-02,27,45705.0
7000290,2024-07-04,27,2332.72
7000290,2024-07-08,28,56407.44
7000290,2024-07-10,28,911.92
7000290,2024-07-15,29,9474.93
7000290,2024-07-16,29,4150.7
7000290,2024-07-17,29,47784.0
7000290,2024-07-18,29,205.92
7000290,2024-07-19,29,48113.32
7000290,2024-07-22,30,2881.0
7000290,2024-07-23,30,51507.020000000004
7000290,2024-07-24,30,411.33
7000290,2024-07-25,30,20043.2
7000290,2024-07-26,30,27164.75
7000290,2024-07-29,31,156981.07
7000290,2024-07-31,31,72772.70999999999
7000290,2024-08-01,31,1407.1399999999999
7000290,2024-08-02,31,236117.05999999997
7000290,2024-08-05,32,310.0
7000290,2024-08-06,32,356.56
7000290,2024-08-09,32,10153.25
7000290,2024-08-11,32,491.79999999999995
7000290,2024-08-12,33,2320.28
7000290,2024-08-13,33,566.94
7000290,2024-08-14,33,5299.49
7000290,2024-08-15,33,775.63
7000290,2024-08-16,33,0.0
7000290,2024-08-19,34,196966.33000000002
7000290,2024-08-20,34,630.9699999999999
7000290,2024-08-23,34,5959.4
7000290,2024-08-25,34,800.0
7000290,2024-08-26,35,102303.5
7000290,2024-08-27,35,0.0
7000290,2024-08-29,35,77.5
7000290,2024-08-30,35,48297.15
7000290,2024-08-31,35,34000.82
7000290,2024-09-01,35,282373.93
